#1	
double Load(8784,2)	
744	7309723.333
745	7105050
746	6955261.667
747	6995023.333
748	7082483.333
749	7366883.333
750	6975993.333
751	8150810
752	8776015
753	7870496.667
754	8402183.333
755	8263165
756	7970343.333
757	7776645
758	7615881.667
759	7689718.333
760	7601931.667
761	7676020
762	7534031.667
763	7209395
764	6899633.333
765	7396125
766	7076251.667
767	7117085
768	7464293.333
769	6605558.333
770	6466300
771	6503265
772	6584576.667
773	6848983.333
774	6485573.333
775	7577800
776	8159051.667
777	7317193.333
778	7811500
779	7682255
780	7410020
781	7229938.333
782	7080476.667
783	7149123.333
784	7067506.667
785	7136388.333
786	7004381.667
787	6702566.667
788	6414581.667
789	6876170
790	6578783.333
791	6616745
792	6939545
793	5779483.333
794	5711806.667
795	5623783.333
796	5822071.667
797	6063708.333
798	5905848.333
799	7009798.333
800	7478705
801	7097058.333
802	7295856.667
803	6832706.667
804	6631345
805	6279445
806	5949423.333
807	6255140
808	6002913.333
809	6001088.333
810	6427905
811	5608095
812	5352978.333
813	5753676.667
814	5695505
815	5691088.333
816	5850716.667
817	4744613.333
818	4689055
819	4616793.333
820	4779576.667
821	4977945
822	4848351.667
823	5754628.333
824	6139573.333
825	5826265
826	5989466.667
827	5609246.667
828	5443941.667
829	5155053.333
830	4884125
831	5135100
832	4928036.667
833	4926538.333
834	5276930
835	4603915
836	4394478.333
837	4723428.333
838	4675671.667
839	4672046.667
840	4803091.667
841	4638495
842	4724755
843	4535471.667
844	4859376.667
845	5117568.333
846	4910706.667
847	6045040
848	6283970
849	5642623.333
850	5602375
851	5045686.667
852	4897211.667
853	4546843.333
854	4241865
855	4190373.333
856	4151693.333
857	4042325
858	4449293.333
859	3847510
860	3860821.667
861	4452595
862	4377658.333
863	4693913.333
864	4548336.667
865	4896671.667
866	4839333.333
867	4764755
868	4932755
869	5137481.667
870	5003735
871	5939056.667
872	6336338.333
873	6012988.333
874	6181421.667
875	5789016.667
876	5618413.333
877	5320265
878	5040655
879	5299673.333
880	5085973.333
881	5084426.667
882	5446048.333
883	4751463.333
884	4535315
885	4874806.667
886	4825521.667
887	4821780
888	4957025
889	5268756.667
890	5207061.667
891	5126816.667
892	5307583.333
893	5527865
894	5383955
895	6390350
896	6817820
897	6469900
898	6651131.667
899	6228908.333
900	6045341.667
901	5724538.333
902	5423680
903	5702381.667
904	5472443.333
905	5470780
906	5859880
907	5112515
908	4879941.667
909	5245231.667
910	5192200
911	5188173.333
912	5333696.667
913	5807740
914	5739733.333
915	5651278.333
916	5850536.667
917	6093353.333
918	5934721.667
919	7044070
920	7515268.333
921	7131756.667
922	7331528.333
923	6866111.667
924	6663766.667
925	6310146.667
926	5978511.667
927	6285723.333
928	6032263.333
929	6030428.333
930	6459333.333
931	5635515
932	5379150
933	5781806.667
934	5723351.667
935	5718913.333
936	5879321.667
937	6281840
938	6149406.667
939	6184560
940	6261886.667
941	6513336.667
942	6167735
943	7206435
944	7759201.667
945	6958600
946	7428683.333
947	7305771.667
948	7046876.667
949	6875620
950	6733485
951	6798766.667
952	6721150
953	6786655
954	6661118.333
955	6374095
956	6100221.667
957	6539190
958	6256378.333
959	6292478.333
960	6599458.333
961	5885675
962	5816756.667
963	5727115
964	5929046.667
965	6175121.667
966	6014361.667
967	7138596.667
968	7616118.333
969	7227460
970	7429911.667
971	6958250
972	6753190
973	6394825
974	6058738.333
975	6370073.333
976	6113211.667
977	6111351.667
978	6546011.667
979	5711138.333
980	5451335
981	5859395
982	5800155
983	5795656.667
984	5958218.333
985	5476241.667
986	5412116.667
987	5328711.667
988	5516596.667
989	5745553.333
990	5595976.667
991	6642005
992	7086308.333
993	6724686.667
994	6913055
995	6474205
996	6283408.333
997	5949973.333
998	5637266.667
999	5926943.333
1000	5687950
1001	5686220
1002	6090643.333
1003	5313846.667
1004	5072116.667
1005	5451790
1006	5396670
1007	5392486.667
1008	5543738.333
1009	5441121.667
1010	5377408.333
1011	5294538.333
1012	5481218.333
1013	5708706.667
1014	5560088.333
1015	6599408.333
1016	7040863.333
1017	6681560
1018	6868720
1019	6432685
1020	6243111.667
1021	5911815
1022	5601113.333
1023	5888931.667
1024	5651471.667
1025	5649753.333
1026	6051583.333
1027	5279768.333
1028	5039588.333
1029	5416826.667
1030	5362061.667
1031	5357903.333
1032	5508185
1033	5029640
1034	4970743.333
1035	4894140
1036	5066703.333
1037	5276988.333
1038	5139608.333
1039	6100330
1040	6508400
1041	6176270
1042	6349275
1043	5946215
1044	5770978.333
1045	5464735
1046	5177531.667
1047	5443583.333
1048	5224081.667
1049	5222493.333
1050	5593933.333
1051	4880488.333
1052	4658470
1053	5007181.667
1054	4956556.667
1055	4952713.333
1056	5091631.667
1057	4592553.333
1058	4538776.667
1059	4468830
1060	4626396.667
1061	4818406.667
1062	4692966.667
1063	5570198.333
1064	5942806.667
1065	5639540
1066	5797510
1067	5429476.667
1068	5269470
1069	4989840
1070	4727593.333
1071	4970525
1072	4770098.333
1073	4768648.333
1074	5107810
1075	4456363.333
1076	4253640
1077	4572046.667
1078	4525821.667
1079	4522313.333
1080	4649158.333
1081	4507648.333
1082	4591475
1083	4407530
1084	4722298.333
1085	4973206.667
1086	4772180
1087	5874516.667
1088	6106706.667
1089	5483450
1090	5444338.333
1091	4903353.333
1092	4759066.667
1093	4418581.667
1094	4122206.667
1095	4072168.333
1096	4034578.333
1097	3928295
1098	4323783.333
1099	3738975
1100	3751911.667
1101	4326993.333
1102	4254170
1103	4561501.667
1104	4420033.333
1105	4638495
1106	4724755
1107	4535471.667
1108	4859376.667
1109	5117568.333
1110	4910706.667
1111	6045040
1112	6283970
1113	5642623.333
1114	5602375
1115	5045686.667
1116	4897211.667
1117	4546843.333
1118	4241865
1119	4190373.333
1120	4151693.333
1121	4042325
1122	4449293.333
1123	3847510
1124	3860821.667
1125	4452595
1126	4377658.333
1127	4693913.333
1128	4548336.667
1129	5135521.667
1130	5075385
1131	4997170
1132	5173365
1133	5388076.667
1134	5247805
1135	6228751.667
1136	6645411.667
1137	6306290
1138	6482938.333
1139	6071391.667
1140	5892466.667
1141	5579776.667
1142	5286526.667
1143	5558180
1144	5334056.667
1145	5332435
1146	5711695
1147	4983230
1148	4756538.333
1149	5112590
1150	5060900
1151	5056975
1152	5198818.333
1153	5147806.667
1154	5087528.333
1155	5009125
1156	5185741.667
1157	5400966.667
1158	5260360
1159	6243653.333
1160	6661310
1161	6321376.667
1162	6498446.667
1163	6085916.667
1164	5906563.333
1165	5593125
1166	5299173.333
1167	5571476.667
1168	5346816.667
1169	5345191.667
1170	5725360
1171	4995151.667
1172	4767918.333
1173	5124821.667
1174	5073008.333
1175	5069073.333
1176	5211255
1177	5561483.333
1178	5496360
1179	5411656.667
1180	5602466.667
1181	5834986.667
1182	5683081.667
1183	6745391.667
1184	7196611.667
1185	6829360
1186	7020660
1187	6574980
1188	6381213.333
1189	6042588.333
1190	5725013.333
1191	6019200
1192	5776486.667
1193	5774730
1194	6185448.333
1195	5396560
1196	5151066.667
1197	5536650
1198	5480673.333
1199	5476423.333
1200	5630030
1201	5566273.333
1202	5501095
1203	5416318.333
1204	5607291.667
1205	5840013.333
1206	5687976.667
1207	6751201.667
1208	7202810
1209	6835243.333
1210	7026708.333
1211	6580643.333
1212	6386710
1213	6047793.333
1214	5729945
1215	6024383.333
1216	5781461.667
1217	5779703.333
1218	6190775
1219	5401208.333
1220	5155503.333
1221	5541420
1222	5485393.333
1223	5481140
1224	5634880
1225	5674771.667
1226	5608321.667
1227	5521891.667
1228	5716588.333
1229	5953846.667
1230	5798846.667
1231	6882795
1232	7343206.667
1233	6968475
1234	7163671.667
1235	6708913.333
1236	6511200
1237	6165676.667
1238	5841633.333
1239	6141811.667
1240	5894153.333
1241	5892361.667
1242	6311446.667
1243	5506490
1244	5255995
1245	5649433.333
1246	5592315
1247	5587978.333
1248	5744715
1249	5320898.333
1250	5258591.667
1251	5177551.667
1252	5360106.667
1253	5582570
1254	5437235
1255	6453590
1256	6885290
1257	6533926.667
1258	6716951.667
1259	6290550
1260	6105166.667
1261	5781190
1262	5477353.333
1263	5758813.333
1264	5526600
1265	5524918.333
1266	5917870
1267	5163110
1268	4928235
1269	5297138.333
1270	5243583.333
1271	5239516.667
1272	5386480
1273	5349385
1274	5286746.667
1275	5205271.667
1276	5388805
1277	5612458.333
1278	5466346.667
1279	6488143.333
1280	6922153.333
1281	6568910
1282	6752913.333
1283	6324230
1284	6137853.333
1285	5812141.667
1286	5506680
1287	5789645
1288	5556188.333
1289	5554498.333
1290	5949553.333
1291	5190751.667
1292	4954620
1293	5325500
1294	5271656.667
1295	5267570
1296	5415318.333
1297	5248248.333
1298	5186793.333
1299	5106860
1300	5286921.667
1301	5506346.667
1302	5362996.667
1303	6365475
1304	6791281.667
1305	6444715
1306	6625241.667
1307	6204661.667
1308	6021808.333
1309	5702255
1310	5402568.333
1311	5680183.333
1312	5451141.667
1313	5449483.333
1314	5837068.333
1315	5092613.333
1316	4860946.667
1317	5224813.333
1318	5171988.333
1319	5167978.333
1320	5312933.333
1321	4908703.333
1322	4851223.333
1323	4776461.667
1324	4944875
1325	5150103.333
1326	5016028.333
1327	5953648.333
1328	6351906.667
1329	6027763.333
1330	6196608.333
1331	5803240
1332	5632216.667
1333	5333336.667
1334	5053038.333
1335	5312693.333
1336	5098470
1337	5096918.333
1338	5459430
1339	4763138.333
1340	4546458.333
1341	4886785
1342	4837378.333
1343	4833626.667
1344	4969203.333
1345	4927481.667
1346	4869783.333
1347	4794735
1348	4963793.333
1349	5169806.667
1350	5035218.333
1351	5976426.667
1352	6376206.667
1353	6050823.333
1354	6220315
1355	5825441.667
1356	5653765
1357	5353741.667
1358	5072370
1359	5333018.333
1360	5117975
1361	5116418.333
1362	5480315
1363	4781360
1364	4563851.667
1365	4905480
1366	4855883.333
1367	4852118.333
1368	4988215
1369	4922018.333
1370	4864383.333
1371	4789418.333
1372	4958290
1373	5164075
1374	5029635
1375	5969800
1376	6369138.333
1377	6044115
1378	6213418.333
1379	5818981.667
1380	5647495
1381	5347805
1382	5066746.667
1383	5327106.667
1384	5112300
1385	5110745
1386	5474240
1387	4776058.333
1388	4558791.667
1389	4900041.667
1390	4850500
1391	4846738.333
1392	4982683.333
1393	4539770
1394	4486610
1395	4417468.333
1396	4573223.333
1397	4763028.333
1398	4639028.333
1399	5506178.333
1400	5874503.333
1401	5574721.667
1402	5730878.333
1403	5367073.333
1404	5208905
1405	4932490
1406	4673258.333
1407	4913398.333
1408	4715273.333
1409	4713840
1410	5049105
1411	4405145
1412	4204751.667
1413	4519498.333
1414	4473805
1415	4470336.667
1416	4595723.333
1417	3947636.667
1418	4021050
1419	3859958.333
1420	4135621.667
1421	4355356.667
1422	4179305
1423	5144691.667
1424	5348035
1425	4802210
1426	4767956.667
1427	4294181.667
1428	4167821.667
1429	3869636.667
1430	3610081.667
1431	3566260
1432	3533340
1433	3440260
1434	3786615
1435	3274461.667
1436	3285790
1437	3789425
1438	3725650
1439	3994801.667
1440	3870908.333
1441	4140153.333
1442	4217146.667
1443	4048198.333
1444	4337305
1445	4567756.667
1446	4383120
1447	5395585
1448	5608846.667
1449	5036401.667
1450	5000478.333
1451	4503598.333
1452	4371075
1453	4058350
1454	3786136.667
1455	3740176.667
1456	3705653.333
1457	3608033.333
1458	3971280
1459	3434148.333
1460	3446030
1461	3974226.667
1462	3907341.667
1463	4189618.333
1464	4059683.333
1465	4274501.667
1466	4353993.333
1467	4179563.333
1468	4478051.667
1469	4715981.667
1470	4525353.333
1471	5570673.333
1472	5790855
1473	5199835
1474	5162745
1475	4649741.667
1476	4512916.667
1477	4190043.333
1478	3908996.667
1479	3861546.667
1480	3825901.667
1481	3725115
1482	4100148.333
1483	3545586.667
1484	3557855
1485	4103191.667
1486	4034135
1487	4325571.667
1488	4191420
1489	4954281.667
1490	4896268.333
1491	4820813.333
1492	4990790
1493	5197925
1494	5062605
1495	6008931.667
1496	6410886.667
1497	6083733.333
1498	6254146.667
1499	5857125
1500	5684515
1501	5382860
1502	5099958.333
1503	5362025
1504	5145810
1505	5144246.667
1506	5510121.667
1507	4807365
1508	4588675
1509	4932160
1510	4882295
1511	4878508.333
1512	5015345
1513	5438128.333
1514	5374448.333
1515	5291623.333
1516	5478201.667
1517	5705565
1518	5557028.333
1519	6595776.667
1520	7036986.667
1521	6677883.333
1522	6864940
1523	6429143.333
1524	6239676.667
1525	5908561.667
1526	5598031.667
1527	5885691.667
1528	5648361.667
1529	5646643.333
1530	6048251.667
1531	5276863.333
1532	5036813.333
1533	5413845
1534	5359110
1535	5354955
1536	5505153.333
1537	4629265
1538	4575058.333
1539	4504551.667
1540	4663378.333
1541	4856923.333
1542	4730480
1543	5614725
1544	5990311.667
1545	5684620
1546	5843855
1547	5472878.333
1548	5311591.667
1549	5029726.667
1550	4765385
1551	5010258.333
1552	4808228.333
1553	4806766.667
1554	5148640
1555	4491986.667
1556	4287641.667
1557	4608595
1558	4562000
1559	4558463.333
1560	4686321.667
1561	3754943.333
1562	3824773.333
1563	3671545
1564	3933751.667
1565	4142761.667
1566	3975303.333
1567	4893568.333
1568	5086986.667
1569	4567803.333
1570	4535221.667
1571	4084573.333
1572	3964380
1573	3680751.667
1574	3433865
1575	3392181.667
1576	3360870
1577	3272333.333
1578	3601781.667
1579	3114626.667
1580	3125403.333
1581	3604455
1582	3543793.333
1583	3799805
1584	3681960
1585	3685268.333
1586	3753803.333
1587	3603418.333
1588	3860760
1589	4065891.667
1590	3901540
1591	4802765
1592	4992595
1593	4483046.667
1594	4451070
1595	4008781.667
1596	3890820
1597	3612453.333
1598	3370148.333
1599	3329238.333
1600	3298508.333
1601	3211613.333
1602	3534950
1603	3056833.333
1604	3067410
1605	3537573.333
1606	3478036.667
1607	3729298.333
1608	3613640
1609	4710661.667
1610	4655501.667
1611	4583756.667
1612	4745375
1613	4942325
1614	4813658.333
1615	5713450
1616	6095640
1617	5784573.333
1618	5946608.333
1619	5569108.333
1620	5404986.667
1621	5118165
1622	4849175
1623	5098355
1624	4892773.333
1625	4891285
1626	5239170
1627	4570970
1628	4363033.333
1629	4689628.333
1630	4642215
1631	4638615
1632	4768723.333
1633	5240721.667
1634	5179355
1635	5099536.667
1636	5279340
1637	5498451.667
1638	5355306.667
1639	6356346.667
1640	6781541.667
1641	6435473.333
1642	6615740
1643	6195763.333
1644	6013173.333
1645	5694078.333
1646	5394820
1647	5672038.333
1648	5443323.333
1649	5441668.333
1650	5828698.333
1651	5085311.667
1652	4853976.667
1653	5217321.667
1654	5164571.667
1655	5160568.333
1656	5305315
1657	5236126.667
1658	5174813.333
1659	5095065
1660	5274711.667
1661	5493630
1662	5350611.667
1663	6350773.333
1664	6775596.667
1665	6429830
1666	6609938.333
1667	6190331.667
1668	6007901.667
1669	5689085
1670	5390090
1671	5667065
1672	5438551.667
1673	5436896.667
1674	5823588.333
1675	5080851.667
1676	4849720
1677	5212746.667
1678	5160043.333
1679	5156043.333
1680	5300663.333
1681	5094773.333
1682	5035115
1683	4957520
1684	5132316.667
1685	5345325
1686	5206166.667
1687	6179330
1688	6592683.333
1689	6256251.667
1690	6431498.333
1691	6023218.333
1692	5845713.333
1693	5535505
1694	5244580
1695	5514078.333
1696	5291733.333
1697	5290125
1698	5666375
1699	4943690
1700	4718798.333
1701	5072025
1702	5020745
1703	5016851.667
1704	5157568.333
1705	5186775
1706	5126040
1707	5047041.667
1708	5224996.667
1709	5441851.667
1710	5300180
1711	6290915
1712	6711735
1713	6369228.333
1714	6547638.333
1715	6131985
1716	5951275
1717	5635465
1718	5339286.667
1719	5613651.667
1720	5387291.667
1721	5385653.333
1722	5768698.333
1723	5032963.333
1724	4804010
1725	5163615
1726	5111408.333
1727	5107445
1728	5250703.333
1729	4467398.333
1730	4415086.667
1731	4347046.667
1732	4500318.333
1733	4687096.667
1734	4565075
1735	5418401.667
1736	5780855
1737	5485851.667
1738	5639518.333
1739	5281513.333
1740	5125866.667
1741	4853856.667
1742	4598758.333
1743	4835070
1744	4640105
1745	4638693.333
1746	4968613.333
1747	4334920
1748	4137721.667
1749	4447450
1750	4402485
1751	4399071.667
1752	4522460
1753	4107320
1754	4183703.333
1755	4016095
1756	4302908.333
1757	4531533.333
1758	4348360
1759	5352796.667
1760	5564365
1761	4996461.667
1762	4960823.333
1763	4467883.333
1764	4336410
1765	4026165
1766	3756110
1767	3710515
1768	3676265
1769	3579420
1770	3939785
1771	3406913.333
1772	3418701.667
1773	3942710
1774	3876353.333
1775	4156391.667
1776	4027486.667
1777	3614933.333
1778	3682158.333
1779	3534643.333
1780	3787073.333
1781	3988290
1782	3827076.667
1783	4711100
1784	4897306.667
1785	4397483.333
1786	4366116.667
1787	3932271.667
1788	3816560
1789	3543506.667
1790	3305825
1791	3265696.667
1792	3235553.333
1793	3150318.333
